,date,ndvi
1353,2000-01-03,
909,2000-01-11,0.43532851503955
189,2000-01-18,0.44724491942260003
569,2000-01-26,0.4523669944869148
910,2000-01-27,
190,2000-02-03,0.46290861732429933
570,2000-02-11,0.4821544877356953
191,2000-02-19,
1354,2000-02-20,0.4651605784893036
911,2000-02-28,0.49612584213415784
192,2000-03-06,
1355,2000-03-07,
912,2000-03-15,0.47910289135244155
193,2000-03-22,0.4963240772485733
913,2000-03-31,0.48861165344715113
194,2000-04-07,
914,2000-04-16,0.0834833767472042
195,2000-04-23,
915,2000-05-02,0.5535129598445363
1356,2000-05-10,
916,2000-05-18,0.056631661071959466
196,2000-05-25,0.5751295593049791
571,2000-06-02,0.4830283183190558
917,2000-06-03,0.5745011824700568
197,2000-06-10,0.6025347709655762
572,2000-06-18,0.6177890259358617
198,2000-06-26,0.6956426327427229
199,2000-07-12,0.6871044652329551
200,2000-07-28,0.6026548395554224
1357,2000-07-29,
918,2000-08-06,0.6119023371073935
919,2000-08-22,
1358,2000-08-30,0.5057850422130691
920,2000-09-07,
1359,2000-09-15,0.5417629463805093
573,2000-09-22,0.5689307666487163
921,2000-09-23,0.5387439876794816
201,2000-09-30,
1360,2000-10-01,
922,2000-10-09,0.5059469590584437
202,2000-10-16,0.49148803038729555
574,2000-10-24,
923,2000-10-25,
203,2000-11-01,0.4379800657431285
924,2000-11-10,
204,2000-11-17,0.4458244952062766
1361,2000-11-18,0.42442894809775883
925,2000-11-26,0.44985474066601855
205,2000-12-03,0.4572368061376943
575,2000-12-11,0.4568649037844605
926,2000-12-12,0.4358144547376368
927,2000-12-28,0.4266619156632159
206,2001-01-04,0.4678976494405005
1362,2001-01-05,0.44046167946524095
576,2001-01-12,0.43353030251132113
928,2001-01-13,0.430640192495452
207,2001-01-20,0.45741107149256605
1363,2001-01-21,0.43566223192546105
577,2001-01-28,0.43861327692866325
929,2001-01-29,0.4395050460265742
208,2001-02-05,0.45443873355786013
1364,2001-02-06,0.4412687006923887
578,2001-02-13,0.38143108867936665
930,2001-02-14,
209,2001-02-21,
1365,2001-02-22,
579,2001-03-01,0.491378496090571
931,2001-03-02,0.4725041091442108
210,2001-03-09,
1366,2001-03-10,0.452172210233079
580,2001-03-17,
932,2001-03-18,0.4952282785541482
211,2001-03-25,0.4826750490400526
933,2001-04-03,
581,2001-04-18,0.5244894623756408
934,2001-04-19,
212,2001-04-26,0.5629049672020807
213,2001-05-12,0.49623331344789934
582,2001-05-20,
583,2001-06-05,0.6400934797194269
935,2001-06-06,0.6045592774947485
214,2001-06-13,
936,2001-06-22,0.40226243022415376
215,2001-06-29,0.6372983066572083
1367,2001-06-30,
584,2001-07-07,
216,2001-07-15,
1368,2001-07-16,
937,2001-07-24,
1369,2001-08-01,
585,2001-08-08,0.5960053205490112
1370,2001-08-17,
1371,2001-09-02,
938,2001-09-10,0.5637896913621161
217,2001-09-17,
1372,2001-09-18,0.2905961419973108
586,2001-09-25,
939,2001-10-12,0.5256335669093661
218,2001-10-19,
940,2001-10-28,
587,2001-11-12,
941,2001-11-13,
219,2001-11-20,
588,2001-11-28,0.49700228042072725
942,2001-11-29,0.4746193612615268
220,2001-12-06,0.49015669441885423
589,2001-12-14,0.447725359764364
943,2001-12-15,0.46064142427510685
221,2001-12-22,0.4960265474187003
1373,2001-12-23,
590,2001-12-30,0.44512513362699085
944,2001-12-31,
222,2002-01-07,
1374,2002-01-08,0.4514561009903748
591,2002-01-15,0.4350121484862433
223,2002-01-23,0.46208172498477823
592,2002-01-31,0.49433582607242793
945,2002-02-01,0.44998364564445287
224,2002-02-08,
1375,2002-02-09,0.46086649265554214
593,2002-02-16,
946,2002-02-17,
225,2002-02-24,
1376,2002-02-25,
594,2002-03-04,0.5045425080590779
947,2002-03-05,0.5011882264580991
226,2002-03-12,0.5175767044226328
1377,2002-03-13,
595,2002-03-20,0.5376664731237624
948,2002-03-21,0.514576170179579
227,2002-03-28,0.549266399608718
949,2002-04-06,0.0
228,2002-04-13,0.507215314027336
1378,2002-04-14,0.5164963843093978
950,2002-04-22,
229,2002-04-29,0.41833915892574525
951,2002-05-08,
952,2002-05-24,
230,2002-06-16,
1379,2002-06-17,0.6125400306449996
953,2002-06-25,
231,2002-07-02,0.678171060151524
1380,2002-07-03,0.5208695911698871
596,2002-07-10,0.6774474614196354
954,2002-07-11,0.6562691272960769
955,2002-07-27,0.6862246857749091
232,2002-08-03,
1381,2002-08-04,
956,2002-08-12,0.6843700789743
233,2002-08-19,
957,2002-09-13,0.6211666332350837
234,2002-09-20,0.6069557716449102
958,2002-09-29,0.5908420888914002
235,2002-10-06,
959,2002-10-15,0.4070692505273554
236,2002-10-22,0.5621300728784667
960,2002-10-31,
237,2002-11-07,0.5481695739759339
961,2002-11-16,
238,2002-11-23,
962,2002-12-02,
963,2002-12-18,0.4828430405921406
239,2002-12-25,0.5169538524415758
964,2003-01-03,
240,2003-01-10,0.4999985711442099
965,2003-01-19,0.5019292914205127
966,2003-02-04,0.49850066502889007
241,2003-02-11,
967,2003-02-20,0.5012423876259061
242,2003-02-27,0.5028177011344168
968,2003-03-08,
243,2003-03-15,0.5348816629913119
969,2003-03-24,0.5628065375818146
244,2003-03-31,0.5829591974616051
970,2003-04-09,0.5558902240461773
245,2003-05-02,0.3870069235563278
971,2003-05-11,0.505057655274868
246,2003-05-18,
972,2003-05-27,0.7419039747781223
597,2003-06-27,
1382,2003-07-06,
598,2003-07-13,0.6590987303190762
247,2003-07-21,
1383,2003-08-07,
599,2003-08-14,0.665202222764492
973,2003-08-15,
248,2003-08-22,0.6818307116627693
1384,2003-08-23,0.5612586041291554
600,2003-08-30,
1385,2003-09-08,0.5706224590539932
601,2003-09-15,0.5829182118177414
249,2003-09-23,0.6269411891698838
1386,2003-09-24,0.5381124061014917
602,2003-10-01,
974,2003-10-02,0.538151032394833
1387,2003-10-10,0.5131718160377609
603,2003-10-17,0.5288105176554786
975,2003-10-18,0.5292997517519528
250,2003-10-25,
251,2003-11-10,0.4878989400135146
604,2003-11-18,
976,2003-11-19,0.509815353486273
252,2003-11-26,
1388,2003-11-27,0.32723481622007156
977,2003-12-05,0.2934359163045883
253,2003-12-12,0.4910856294963095
1389,2003-12-13,0.452291827234957
605,2003-12-20,0.47949903044435715
978,2003-12-21,0.5137702226638794
254,2003-12-28,0.5108834885888629
