,date,ndvi
1354,2000-01-03,
910,2000-01-11,0.5179025791585445
190,2000-01-18,0.5264186626300216
570,2000-01-26,0.5307525070384145
911,2000-01-27,
191,2000-02-03,0.5447093164548278
571,2000-02-11,0.5500954007729888
192,2000-02-19,
1355,2000-02-20,0.5154056185856462
912,2000-02-28,0.5386062115430832
193,2000-03-06,
1356,2000-03-07,
913,2000-03-15,
194,2000-03-22,0.5516132721677423
914,2000-03-31,0.5394225176423788
195,2000-04-07,
915,2000-04-16,
196,2000-04-23,
916,2000-05-02,0.5021969685330987
1357,2000-05-10,
917,2000-05-18,0.04796381760388613
197,2000-05-25,
572,2000-06-02,0.5264597684144974
918,2000-06-03,0.626285838894546
198,2000-06-10,0.6076369239017367
573,2000-06-18,
199,2000-06-26,0.7052661720663309
200,2000-07-12,0.6991273071616888
201,2000-07-28,0.6338020814582705
1358,2000-07-29,
919,2000-08-06,0.6367472307756543
920,2000-08-22,
1359,2000-08-30,0.5514884972944856
921,2000-09-07,
1360,2000-09-15,0.5783049808815122
574,2000-09-22,0.6295381570234895
922,2000-09-23,0.6079394593834877
202,2000-09-30,
1361,2000-10-01,
923,2000-10-09,0.5694868536666036
203,2000-10-16,0.5648655174300075
575,2000-10-24,
924,2000-10-25,
204,2000-11-01,
925,2000-11-10,
205,2000-11-17,0.5593742784112692
1362,2000-11-18,0.5280348462983966
926,2000-11-26,0.4879504907876253
206,2000-12-03,0.5709141883999109
576,2000-12-11,0.5507423616945744
927,2000-12-12,0.5278756842017174
928,2000-12-28,0.5194831555709243
207,2001-01-04,0.5460001425817609
1363,2001-01-05,0.5283821942284703
577,2001-01-12,0.5129914032295346
929,2001-01-13,0.5203504292294383
208,2001-01-20,0.5362957194447517
1364,2001-01-21,0.519714911468327
578,2001-01-28,0.5229908339679241
930,2001-01-29,
209,2001-02-05,0.5317239332944155
1365,2001-02-06,0.5213224021717906
579,2001-02-13,
931,2001-02-14,
210,2001-02-21,
1366,2001-02-22,
580,2001-03-01,0.5593705754727125
932,2001-03-02,0.5286617502570152
211,2001-03-09,
1367,2001-03-10,0.5056126862764359
581,2001-03-17,
933,2001-03-18,0.5437030419707298
212,2001-03-25,0.5218313662335277
934,2001-04-03,
582,2001-04-18,0.5724431704729795
935,2001-04-19,
213,2001-04-26,0.5968984747305512
214,2001-05-12,0.527130383066833
583,2001-05-20,
584,2001-06-05,0.6589759113267064
936,2001-06-06,0.6710142213851213
215,2001-06-13,
937,2001-06-22,0.44183454755693674
216,2001-06-29,0.6266326187178493
1368,2001-06-30,
585,2001-07-07,
217,2001-07-15,
1369,2001-07-16,
938,2001-07-24,
1370,2001-08-01,0.3197410013526678
586,2001-08-08,
1371,2001-08-17,
1372,2001-09-02,0.10136809013783932
939,2001-09-10,0.6262411028146744
218,2001-09-17,
1373,2001-09-18,0.28960608392953874
587,2001-09-25,
940,2001-10-12,0.6073083151131868
219,2001-10-19,
941,2001-10-28,0.49090654868632555
588,2001-11-12,
942,2001-11-13,0.5863946117460728
220,2001-11-20,
589,2001-11-28,0.5884666033089161
943,2001-11-29,0.5808204812929034
221,2001-12-06,0.5895493701100349
590,2001-12-14,0.521435440517962
944,2001-12-15,0.5779762864112854
222,2001-12-22,0.5882648900151253
1374,2001-12-23,
591,2001-12-30,0.5341899041086435
945,2001-12-31,
223,2002-01-07,
1375,2002-01-08,0.5376267824321985
592,2002-01-15,0.5226506935432553
224,2002-01-23,0.5748329246416688
593,2002-01-31,0.5830066706985235
946,2002-02-01,0.5514989346265793
225,2002-02-08,
1376,2002-02-09,0.3838745071552694
594,2002-02-16,
947,2002-02-17,
226,2002-02-24,
1377,2002-02-25,
595,2002-03-04,0.5872482601553202
948,2002-03-05,0.5622563092038035
227,2002-03-12,0.5684796497225761
1378,2002-03-13,
596,2002-03-20,0.5940162464976311
949,2002-03-21,0.5784331010654569
228,2002-03-28,0.5872275689616799
950,2002-04-06,
229,2002-04-13,
1379,2002-04-14,
951,2002-04-22,
230,2002-04-29,0.3685624673962593
952,2002-05-08,
953,2002-05-24,
231,2002-06-16,
1380,2002-06-17,0.602712444961071
954,2002-06-25,
232,2002-07-02,0.6720347013324499
1381,2002-07-03,0.5625841422006488
597,2002-07-10,0.627753708511591
955,2002-07-11,0.6558620631694794
956,2002-07-27,0.6802472975105047
233,2002-08-03,
1382,2002-08-04,
957,2002-08-12,0.6941104624420404
234,2002-08-19,0.7594877257943153
958,2002-09-13,0.6643968671560287
235,2002-09-20,0.6294409595429897
959,2002-09-29,0.6565913166850805
236,2002-10-06,
960,2002-10-15,
237,2002-10-22,0.6396171934902668
961,2002-10-31,
238,2002-11-07,0.6345171015709639
962,2002-11-16,
239,2002-11-23,
963,2002-12-02,
964,2002-12-18,0.5976993944495916
240,2002-12-25,0.6194507926702499
965,2003-01-03,
241,2003-01-10,0.6114175012335181
966,2003-01-19,0.5946215838193893
967,2003-02-04,0.5819624690338969
242,2003-02-11,
968,2003-02-20,0.575074702501297
243,2003-02-27,0.5905612409114838
969,2003-03-08,
244,2003-03-15,0.5925844628363848
970,2003-03-24,0.61063202470541
245,2003-03-31,0.6218303712084889
971,2003-04-09,0.6245364584028721
246,2003-05-02,0.44910821691155434
972,2003-05-11,0.5467368997633457
247,2003-05-18,
973,2003-05-27,0.746024738997221
598,2003-06-27,
1383,2003-07-06,
599,2003-07-13,
248,2003-07-21,0.7330081406980753
1384,2003-08-07,
600,2003-08-14,0.7030620165169239
974,2003-08-15,0.6888279132544994
249,2003-08-22,0.6740062944591045
1385,2003-08-23,0.618808276951313
601,2003-08-30,
1386,2003-09-08,0.6063048150390387
602,2003-09-15,0.5946177244186401
250,2003-09-23,0.6740191671997309
1387,2003-09-24,0.6249874345958233
603,2003-10-01,
975,2003-10-02,0.6760939533511797
1388,2003-10-10,0.6025965707376599
604,2003-10-17,0.6332233902066946
976,2003-10-18,
251,2003-10-25,
252,2003-11-10,0.5741470530629158
605,2003-11-18,
977,2003-11-19,0.6128948517143726
253,2003-11-26,
1389,2003-11-27,
978,2003-12-05,0.5902730217203498
254,2003-12-12,0.609560555468003
1390,2003-12-13,0.5693719014525414
606,2003-12-20,0.5744398534297943
979,2003-12-21,0.5780032323673368
255,2003-12-28,0.5834209723398089
1391,2003-12-29,
607,2004-01-05,0.5593745401129127
980,2004-01-06,0.5672527095302939
256,2004-01-13,
1392,2004-01-14,
608,2004-01-21,
981,2004-01-22,
257,2004-01-29,
1393,2004-01-30,0.4941847398877144
982,2004-02-07,
258,2004-02-14,
1394,2004-02-15,
609,2004-02-22,0.527390455827117
983,2004-02-23,
1395,2004-03-02,0.5660264855250716
610,2004-03-09,
984,2004-03-10,
259,2004-03-17,0.6013121316209435
1396,2004-03-18,0.5683836741372943
611,2004-03-25,0.5782927256077528
985,2004-03-26,0.5559235354885459
260,2004-04-02,0.6298597492277622
1397,2004-04-03,0.575237044133246
612,2004-04-10,0.6086641540750861
986,2004-04-11,
261,2004-04-18,
1398,2004-04-19,0.5790236061438918
613,2004-04-26,0.6230732183903456
987,2004-04-27,
1399,2004-05-05,
614,2004-05-12,0.6267149737104774
988,2004-05-13,0.6289163560916979
1400,2004-05-21,
615,2004-05-28,
989,2004-05-29,0.6558039039373398
262,2004-06-05,0.6915662176907063
1401,2004-06-06,0.6287114545702934
616,2004-06-13,
990,2004-06-14,
617,2004-06-29,
991,2004-06-30,0.7669174571832021
263,2004-07-07,0.5910098850727081
1402,2004-07-08,0.6169146336615086
618,2004-07-15,0.7087718453258276
