,date,ndvi
651,2000-01-03,
207,2000-01-11,
1195,2000-01-18,0.42484410829616315
1579,2000-01-26,0.3973104584623467
208,2000-01-27,
1196,2000-02-03,0.4246180360064363
1580,2000-02-11,0.4401621157021234
1197,2000-02-19,
652,2000-02-20,0.3857278408990665
209,2000-02-28,0.4260637426015103
1198,2000-03-06,
653,2000-03-07,
210,2000-03-15,0.3595410350032828
1199,2000-03-22,
211,2000-03-31,
1200,2000-04-07,
212,2000-04-16,
1201,2000-04-23,
213,2000-05-02,0.46033895580154466
654,2000-05-10,
214,2000-05-18,0.021145371926467215
1202,2000-05-25,0.5400804501365531
1581,2000-06-02,0.46933361938731244
215,2000-06-03,0.5209585401709332
1203,2000-06-10,0.5383906207527174
1582,2000-06-18,0.5776867335944466
1204,2000-06-26,0.6484293998642402
1205,2000-07-12,0.6438376901276184
1206,2000-07-28,
655,2000-07-29,
216,2000-08-06,0.5674828266104063
217,2000-08-22,
656,2000-08-30,0.2240085651477178
218,2000-09-07,
657,2000-09-15,0.5469791848551143
1583,2000-09-22,0.5922124022335717
219,2000-09-23,0.5859472952557332
1207,2000-09-30,
658,2000-10-01,
220,2000-10-09,0.5621841091549757
1208,2000-10-16,0.5406327703685472
1584,2000-10-24,
221,2000-10-25,
1209,2000-11-01,
222,2000-11-10,
1210,2000-11-17,
659,2000-11-18,
223,2000-11-26,0.4699129895730453
1211,2000-12-03,0.47291785286683025
1585,2000-12-11,
224,2000-12-12,0.44717293311700673
225,2000-12-28,0.4399573314144755
1212,2001-01-04,0.47920271347869536
660,2001-01-05,0.45258980018622946
1586,2001-01-12,0.45352965909423265
226,2001-01-13,0.41115004919243586
1213,2001-01-20,0.46539687692667503
661,2001-01-21,0.4388151111250574
1587,2001-01-28,
227,2001-01-29,
1214,2001-02-05,
662,2001-02-06,0.4292924276581317
1588,2001-02-13,0.36208820704257855
228,2001-02-14,
1215,2001-02-21,
663,2001-02-22,
1589,2001-03-01,0.4494325663104202
229,2001-03-02,0.4332484597283782
1216,2001-03-09,0.4546869984178832
664,2001-03-10,0.4286419359797781
1590,2001-03-17,
230,2001-03-18,
1217,2001-03-25,0.2984625430054162
1575,2001-04-02,0.03125469154217327
231,2001-04-03,
1591,2001-04-18,0.49041653661565354
232,2001-04-19,
1218,2001-04-26,0.4651420466376074
1219,2001-05-12,0.49223731875871163
1592,2001-05-20,
1593,2001-06-05,0.5513307985031243
233,2001-06-06,0.5474283863987887
1220,2001-06-13,
234,2001-06-22,0.41953079075072747
1221,2001-06-29,0.5642801640611707
665,2001-06-30,0.5125294661883152
1594,2001-07-07,
1222,2001-07-15,
666,2001-07-16,
235,2001-07-24,
667,2001-08-01,0.2153263485736468
1595,2001-08-08,
668,2001-08-17,
669,2001-09-02,0.03212955268099904
236,2001-09-10,0.5863223480004253
1223,2001-09-17,
670,2001-09-18,0.3917409673784718
1596,2001-09-25,
237,2001-10-12,
1224,2001-10-19,
238,2001-10-28,
1597,2001-11-12,
239,2001-11-13,0.5161999344374194
1225,2001-11-20,
1598,2001-11-28,0.4970077386859692
240,2001-11-29,0.4821305513156183
1226,2001-12-06,0.4991215812889012
1599,2001-12-14,
241,2001-12-15,
1227,2001-12-22,0.5117345319101303
671,2001-12-23,
1600,2001-12-30,
242,2001-12-31,
1228,2002-01-07,
672,2002-01-08,0.4624293157548615
1601,2002-01-15,0.42923353657577973
1229,2002-01-23,
1602,2002-01-31,0.5085057700899515
243,2002-02-01,
1230,2002-02-08,0.46189503857132147
673,2002-02-09,0.47331865910779347
1603,2002-02-16,
244,2002-02-17,
1231,2002-02-24,
674,2002-02-25,
1604,2002-03-04,0.4876051346460978
245,2002-03-05,0.4612864424107653
1232,2002-03-12,0.5025161486683469
675,2002-03-13,
1605,2002-03-20,0.5017525244391325
246,2002-03-21,0.45280688447934203
1233,2002-03-28,0.46117385687551116
247,2002-04-06,0.5386810257579341
1234,2002-04-13,
676,2002-04-14,0.48397839396740455
248,2002-04-22,
1235,2002-04-29,
249,2002-05-08,
250,2002-05-24,
1236,2002-06-16,
677,2002-06-17,0.5625732037605661
251,2002-06-25,
1237,2002-07-02,0.5776732594452121
678,2002-07-03,0.5546675285493786
1606,2002-07-10,0.5989209581166505
252,2002-07-11,0.6385396382573879
253,2002-07-27,0.6757083532936645
1238,2002-08-03,0.28150866429011023
679,2002-08-04,0.3297209417955442
254,2002-08-12,0.663329960383249
1239,2002-08-19,0.7245442867279053
255,2002-09-13,0.6895499850312868
1240,2002-09-20,0.6993523612618446
256,2002-09-29,
1241,2002-10-06,
257,2002-10-15,
1242,2002-10-22,0.5900045216247727
258,2002-10-31,
