,date,ndvi
651,2000-01-03,
207,2000-01-11,0.5574567251735264
992,2000-01-18,0.565968288315667
1372,2000-01-26,0.5925547480583191
208,2000-01-27,0.5595979856120216
993,2000-02-03,0.5971905059284635
1373,2000-02-11,0.6235326064957513
994,2000-02-19,0.5759263502226935
652,2000-02-20,0.5711857742733425
209,2000-02-28,0.6395398643281723
995,2000-03-06,0.6007880038685268
653,2000-03-07,
210,2000-03-15,0.6350244018766616
996,2000-03-22,0.6575003663698832
211,2000-03-31,0.6215931706958346
997,2000-04-07,
212,2000-04-16,
998,2000-04-23,0.6912474830945333
213,2000-05-02,0.7425715393490262
654,2000-05-10,
214,2000-05-18,0.0016477699326868684
999,2000-05-25,0.7761509087350634
1374,2000-06-02,0.4762488305568695
215,2000-06-03,0.7269303268856473
1000,2000-06-10,0.544430242644416
1375,2000-06-18,0.7379913727442423
1001,2000-06-26,
1002,2000-07-12,0.7682452532980178
1003,2000-07-28,0.757392360104455
655,2000-07-29,
216,2000-08-06,0.7730701300832962
217,2000-08-22,
656,2000-08-30,
218,2000-09-07,
657,2000-09-15,0.6828358835644193
1376,2000-09-22,0.6958778169420031
219,2000-09-23,0.7176022926966349
1004,2000-09-30,0.6843174828423395
658,2000-10-01,
220,2000-10-09,0.6792881952391729
1005,2000-10-16,0.6468627386622959
1377,2000-10-24,
221,2000-10-25,
1006,2000-11-01,0.652697934044732
222,2000-11-10,
1007,2000-11-17,0.6003971894582113
659,2000-11-18,0.5858822994761996
223,2000-11-26,0.61407470703125
1008,2000-12-03,0.6515035430590311
1378,2000-12-11,0.6376910739474827
224,2000-12-12,0.6096500290764703
225,2000-12-28,0.34574050704638165
1009,2001-01-04,0.6501806047227647
660,2001-01-05,0.631256812148624
1379,2001-01-12,0.6149456832143995
226,2001-01-13,0.6205797990163168
1010,2001-01-20,0.659843577278985
661,2001-01-21,0.6291643513573542
1380,2001-01-28,0.651106403933631
227,2001-01-29,0.6355670028262669
1011,2001-02-05,0.6434972286224365
662,2001-02-06,0.6539554264810351
1381,2001-02-13,0.5790352755122715
228,2001-02-14,0.6163428160879346
1012,2001-02-21,0.6367954810460409
663,2001-02-22,
1382,2001-03-01,0.6756315694914923
229,2001-03-02,0.6759725146823459
1013,2001-03-09,
