,date,ndvi
651,2000-01-03,
207,2000-01-11,0.5869497088370499
992,2000-01-18,0.5782445829223702
1372,2000-01-26,0.5772567623191409
208,2000-01-27,0.5508647555554353
993,2000-02-03,0.5791622433397505
1373,2000-02-11,0.5768854209670313
994,2000-02-19,0.5459872004058626
652,2000-02-20,0.5395591821935442
209,2000-02-28,0.5985991720248152
995,2000-03-06,0.5436627404005439
653,2000-03-07,
210,2000-03-15,0.5724247616750223
996,2000-03-22,0.5956411129898496
211,2000-03-31,0.5844045303486012
997,2000-04-07,
212,2000-04-16,
998,2000-04-23,0.6030331808659765
213,2000-05-02,
654,2000-05-10,
214,2000-05-18,0.0019066509907133878
999,2000-05-25,0.6716298794856779
1374,2000-06-02,0.37424965335263144
215,2000-06-03,0.6547509208321571
1000,2000-06-10,0.5962725921913429
1375,2000-06-18,0.6150447244721431
1001,2000-06-26,0.5944146673988413
1002,2000-07-12,0.7229311962922416
1003,2000-07-28,0.6569795178042517
655,2000-07-29,
216,2000-08-06,0.672336056276604
217,2000-08-22,
656,2000-08-30,
218,2000-09-07,
657,2000-09-15,0.6226803318217948
1376,2000-09-22,0.656597356001536
219,2000-09-23,0.6549861513906055
1004,2000-09-30,0.6565345404324708
658,2000-10-01,
220,2000-10-09,0.6705703994742146
1005,2000-10-16,0.6428459579194032
1377,2000-10-24,
221,2000-10-25,
1006,2000-11-01,0.5996141350931592
222,2000-11-10,
1007,2000-11-17,0.5587859082001226
659,2000-11-18,0.5448569285648841
223,2000-11-26,
1008,2000-12-03,0.5784267435471216
1378,2000-12-11,0.561478575622594
224,2000-12-12,0.5576161924335692
225,2000-12-28,0.36673793472625593
1009,2001-01-04,0.5704756351532759
660,2001-01-05,0.543323474349799
1379,2001-01-12,0.5170408288637797
226,2001-01-13,0.5411146923347756
1010,2001-01-20,0.5777444226874245
661,2001-01-21,0.5642088419861264
1380,2001-01-28,0.5371932315605658
227,2001-01-29,0.539085417985916
1011,2001-02-05,0.5505450180283299
662,2001-02-06,0.5585015410626376
1381,2001-02-13,0.4656091680129369
228,2001-02-14,0.5263434013834706
1012,2001-02-21,0.5167332341273626
663,2001-02-22,
1382,2001-03-01,0.5694410243520031
229,2001-03-02,0.5604759129109206
1013,2001-03-09,
664,2001-03-10,0.5485203895303938
1383,2001-03-17,
230,2001-03-18,0.5716369485965482
1014,2001-03-25,
231,2001-04-03,
1384,2001-04-18,0.557987791520578
232,2001-04-19,
1015,2001-04-26,0.5697212564172569
1016,2001-05-12,0.5602593372265497
1385,2001-05-20,
1386,2001-06-05,0.709188230059765
233,2001-06-06,0.7169375187820859
1017,2001-06-13,
234,2001-06-22,
1018,2001-06-29,0.7594998975594839
665,2001-06-30,
1387,2001-07-07,
1019,2001-07-15,
666,2001-07-16,
235,2001-07-24,0.7072318849740205
667,2001-08-01,
1388,2001-08-08,
668,2001-08-17,0.5734478566381667
669,2001-09-02,
236,2001-09-10,0.7287336234693175
1020,2001-09-17,
670,2001-09-18,
