,date,ndvi
651,2000-01-03,
207,2000-01-11,0.5162053103957858
992,2000-01-18,0.5215878656932287
1372,2000-01-26,0.5168426449809755
208,2000-01-27,0.47973238485200065
993,2000-02-03,0.5216906820024764
1373,2000-02-11,0.5282695651054383
994,2000-02-19,0.4988055048244339
652,2000-02-20,0.478391715671335
209,2000-02-28,0.5355278364249638
995,2000-03-06,0.5021471027817046
653,2000-03-07,
210,2000-03-15,0.5147378623485565
996,2000-03-22,0.5587366717202322
211,2000-03-31,0.5280052770461354
997,2000-04-07,
212,2000-04-16,
998,2000-04-23,0.569531473517418
213,2000-05-02,
654,2000-05-10,
214,2000-05-18,0.0033026312121364754
999,2000-05-25,0.6305055439472198
1374,2000-06-02,0.44157523587346076
215,2000-06-03,0.5905363176550184
1000,2000-06-10,0.5791033378669194
1375,2000-06-18,0.5888653701969556
1001,2000-06-26,0.56025430389813
1002,2000-07-12,0.7110109265361514
1003,2000-07-28,0.6440223761967251
655,2000-07-29,
216,2000-08-06,0.6367854365280696
217,2000-08-22,
656,2000-08-30,
218,2000-09-07,
657,2000-09-15,0.6019058619226728
1376,2000-09-22,0.6494664468935557
219,2000-09-23,0.6399480219398227
1004,2000-09-30,0.6472220007862364
658,2000-10-01,
220,2000-10-09,0.6410019274268831
1005,2000-10-16,0.6222367635795047
1377,2000-10-24,
221,2000-10-25,
1006,2000-11-01,0.5744053789263679
222,2000-11-10,
1007,2000-11-17,0.532610313807215
659,2000-11-18,0.5139474532433919
223,2000-11-26,
1008,2000-12-03,0.5497161937611443
1378,2000-12-11,0.5322748086282185
224,2000-12-12,0.518067798444203
225,2000-12-28,0.3473750599793025
1009,2001-01-04,0.5479069718292782
660,2001-01-05,0.5036417169230325
1379,2001-01-12,0.49437335261276794
226,2001-01-13,0.49521443247795105
1010,2001-01-20,0.53798294876303
661,2001-01-21,0.5161852389574052
1380,2001-01-28,0.5097210841519492
227,2001-01-29,0.5017542383500508
1011,2001-02-05,0.5165999902146203
662,2001-02-06,0.5171835954700197
1381,2001-02-13,0.43819344001156946
228,2001-02-14,0.48843413591384877
1012,2001-02-21,0.49556556684630265
663,2001-02-22,
1382,2001-03-01,0.5414608474288667
229,2001-03-02,0.5287282028368541
1013,2001-03-09,
664,2001-03-10,0.5005175245659692
1383,2001-03-17,
230,2001-03-18,0.5227408247334616
1014,2001-03-25,
231,2001-04-03,
1384,2001-04-18,0.5260455885103771
232,2001-04-19,
1015,2001-04-26,0.5293584044490542
