,date,ndvi
1289,2000-01-03,0.683934168683158
407,2000-01-11,0.752278917365604
851,2000-01-11,0.7510412931442261
852,2000-01-27,0.7340152793460422
408,2000-01-27,0.7343084282345242
1290,2000-02-20,0.7161157627900442
409,2000-02-28,0.7703290945953793
853,2000-02-28,0.7707423435317146
1291,2000-03-07,0.5999111748403974
410,2000-03-15,0.7548764215575324
854,2000-03-15,0.7615422109762827
411,2000-03-31,0.7433577577273051
855,2000-03-31,0.7438043322828082
412,2000-04-16,0.738743977414237
856,2000-04-16,0.7217384742365943
857,2000-05-02,0.7239130304919348
413,2000-05-02,
1292,2000-05-10,
858,2000-05-18,
414,2000-05-18,
415,2000-06-03,0.799843923913108
859,2000-06-03,0.7824396027459039
1293,2000-07-29,
1440,2000-07-29,
416,2000-08-06,0.7106368442376455
860,2000-08-06,0.7058645354376899
417,2000-08-22,
861,2000-08-22,
1294,2000-08-30,
418,2000-09-07,0.7508661647637686
862,2000-09-07,0.7331555916203393
1295,2000-09-15,0.7229762143558927
419,2000-09-23,0.7765857610437606
863,2000-09-23,0.7739316357506647
1296,2000-10-01,
420,2000-10-09,0.7718966603279114
864,2000-10-09,0.7687593168682523
421,2000-10-25,
865,2000-10-25,
422,2000-11-10,
866,2000-11-10,
1441,2000-11-18,0.6948757072289785
1297,2000-11-18,0.6935489310158625
423,2000-11-26,0.632419440481398
867,2000-11-26,0.6373917890919579
424,2000-12-12,0.7372093829843732
868,2000-12-12,0.7383828428056506
425,2000-12-28,
869,2000-12-28,
1442,2001-01-05,0.69150310754776
1298,2001-01-05,0.6916808585325877
870,2001-01-13,0.7193403873178693
426,2001-01-13,0.7163105805714926
1299,2001-01-21,0.6849201950762006
871,2001-01-29,0.7181986007425519
427,2001-01-29,0.7240531610118017
1443,2001-02-06,0.7029538816875882
1300,2001-02-06,0.7008056011464859
872,2001-02-14,0.6978328956498041
428,2001-02-14,0.6963613000180987
1301,2001-02-22,0.6491706569989523
429,2001-03-02,0.7227886584069995
873,2001-03-02,0.7199084328280555
1302,2001-03-10,0.6774875786569384
1444,2001-03-10,0.6874381634924146
874,2001-03-18,0.7253475520345901
430,2001-03-18,0.7291237513224283
875,2001-04-03,
431,2001-04-03,
432,2001-04-19,
876,2001-04-19,
877,2001-05-05,
1445,2001-05-13,
878,2001-06-06,0.753553357389238
433,2001-06-06,0.7616953088177575
434,2001-06-22,
879,2001-06-22,
1303,2001-06-30,
1304,2001-07-16,
435,2001-07-24,
880,2001-07-24,
1446,2001-08-01,
1305,2001-08-01,
1447,2001-08-17,
1306,2001-08-17,
1448,2001-09-02,0.35141061544418334
1307,2001-09-02,
436,2001-09-10,0.7646403743161095
881,2001-09-10,0.7733441558149124
1449,2001-09-18,
1308,2001-09-18,
882,2001-09-26,
883,2001-10-12,0.7700660758548312
437,2001-10-12,0.7721241613229116
884,2001-10-28,
438,2001-10-28,
1450,2001-11-05,
885,2001-11-13,0.7812587751282586
439,2001-11-13,0.780778639846378
440,2001-11-29,0.7606321606371137
886,2001-11-29,0.7757031288411883
441,2001-12-15,0.7544438872072431
887,2001-12-15,0.7573495176103381
1309,2001-12-23,0.7363481587833829
1451,2001-12-23,0.7336671352386475
888,2001-12-31,0.7046237091223398
442,2001-12-31,0.7056018975045947
1452,2002-01-08,0.7327158053716024
1310,2002-01-08,0.7335780892107223
1453,2002-01-24,0.7009518576992884
889,2002-02-01,0.7450021869606442
443,2002-02-01,0.7482653458913168
1311,2002-02-09,0.6907558573616877
444,2002-02-17,0.7331022123495737
890,2002-02-17,0.7289536694685618
1312,2002-02-25,0.6846411195066241
1454,2002-02-25,0.6792837017112309
445,2002-03-05,0.7641356454955206
891,2002-03-05,0.7569258842203354
1313,2002-03-13,
892,2002-03-21,0.7421662542555066
446,2002-03-21,0.744627230697208
447,2002-04-06,0.2629072980748283
1314,2002-04-14,0.6909441451231638
1455,2002-04-14,0.6951493223508199
448,2002-04-22,
893,2002-04-22,
449,2002-05-08,0.6464601092868381
894,2002-05-08,0.6564805077181922
450,2002-05-24,
895,2002-05-24,
1315,2002-06-17,0.6920061111450195
1456,2002-06-17,0.6775247885121239
451,2002-06-25,
1457,2002-07-03,0.6545652813381619
1316,2002-07-03,0.6471731828318701
452,2002-07-11,
896,2002-07-11,
453,2002-07-27,0.7937738233142428
897,2002-07-27,0.7921483019987742
1458,2002-08-04,
1317,2002-08-04,
898,2002-08-12,0.6541737450493706
454,2002-08-12,0.6571589310963949
899,2002-09-13,0.7945947249730428
455,2002-09-13,0.7969894938998753
456,2002-09-29,0.7569458285967509
900,2002-09-29,0.7775550782680511
457,2002-10-15,
901,2002-10-15,
902,2002-10-31,0.6127527554829916
458,2002-10-31,0.622590723964903
903,2002-11-16,0.7912506726053025
459,2002-11-16,0.7916197313202753
904,2002-12-02,0.776963942580753
460,2002-12-02,0.7791682846016355
461,2002-12-18,0.7761449184682633
905,2002-12-18,0.7775821023517184
906,2003-01-03,0.7583557267983755
462,2003-01-03,0.7533451947900983
463,2003-01-19,0.7684863408406576
907,2003-02-04,0.7607837054464551
464,2003-02-04,0.7525286177794138
908,2003-02-20,0.7369922267066108
465,2003-02-20,0.7412446141242981
466,2003-03-08,
909,2003-03-08,
910,2003-03-24,0.7568337255054051
467,2003-03-24,0.7602143552568225
468,2003-04-09,0.7467617193857828
911,2003-04-09,0.7439881828096176
912,2003-04-25,
469,2003-05-11,
913,2003-05-11,
914,2003-05-27,0.7580896549754673
470,2003-05-27,0.7548373904493121
1318,2003-07-06,0.1931129679497745
1459,2003-07-22,
1319,2003-08-07,
915,2003-08-15,0.7656246655517154
471,2003-08-15,0.7846354941527048
1460,2003-08-23,0.7347383730941349
1320,2003-08-23,0.7420680820941925
1321,2003-09-08,0.7166699369748434
1461,2003-09-24,0.7376324170165592
1322,2003-09-24,0.7409156792693667
916,2003-10-02,0.7791860732767316
472,2003-10-02,0.7827849222554102
1462,2003-10-10,0.7394992775387235
1323,2003-10-10,0.7395408186647626
473,2003-10-18,0.801230463716719
917,2003-10-18,0.8006527125835419
1463,2003-10-26,0.7610813776652018
918,2003-11-19,0.7736402584446801
474,2003-11-19,0.7725852761003708
1464,2003-11-27,
1324,2003-11-27,
475,2003-12-05,0.7719582815965017
919,2003-12-05,0.7709578937954372
1465,2003-12-13,0.7187757094701132
1325,2003-12-13,0.7163573371039497
476,2003-12-21,0.7622469498051538
920,2003-12-21,0.7601789865228864
1326,2003-12-29,0.6812343696753184
1466,2003-12-29,0.6853544314702352
477,2004-01-06,0.7397650215360855
921,2004-01-06,0.7444832093185849
1467,2004-01-14,0.6592630015479194
1327,2004-01-14,0.6493694881598154
922,2004-01-22,0.7308929231431748
478,2004-01-22,0.731271763642629
1468,2004-01-30,0.6926939884821574
1328,2004-01-30,0.6925107770495944
479,2004-02-07,0.4199093894826041
923,2004-02-07,0.4253038167953491
1329,2004-02-15,0.6594595246844821
1469,2004-02-15,0.6581099894311692
924,2004-02-23,0.7026503185431162
480,2004-02-23,0.6962474717034234
1470,2004-03-02,0.708905299504598
1330,2004-03-02,0.7075558404127756
925,2004-03-10,0.7242880430486466
481,2004-03-10,0.7240883807341257
1331,2004-03-18,0.7382377121183606
1471,2004-03-18,0.734423988395267
926,2004-03-26,0.6616021494070689
482,2004-03-26,0.6596022413836585
1472,2004-04-03,0.7381696568595039
1332,2004-04-03,0.7364135285218557
483,2004-04-11,0.7936670548386044
927,2004-04-11,0.7833904061052533
1473,2004-04-19,0.7372471623950534
1333,2004-04-19,0.7247891293631659
928,2004-04-27,0.2609202067057292
484,2004-04-27,0.2697894473870595
1334,2004-05-05,0.7348191108968524
1474,2004-05-05,0.7179605033662585
929,2004-05-13,0.7726019223531088
485,2004-05-13,0.7667260468006134
1475,2004-05-21,
1335,2004-05-21,
930,2004-05-29,0.7698021796014575
486,2004-05-29,0.8087512221601275
1336,2004-06-06,0.7651959790123835
931,2004-06-14,0.5659625712368225
487,2004-06-14,0.543559965160158
1476,2004-06-22,
488,2004-06-30,0.7280826601717209
932,2004-06-30,0.7479820085896387
