,date,ndvi
1285,2000-01-03,0.4516615924381074
404,2000-01-11,0.47680900825394523
848,2000-01-11,0.4777181725653391
405,2000-01-27,0.46718661179618226
849,2000-01-27,0.4666822486453586
1286,2000-02-20,0.5000428311408512
850,2000-02-28,0.5454816818237306
406,2000-02-28,0.544739716582828
1287,2000-03-07,0.48445234790680897
407,2000-03-15,0.5327401392989689
851,2000-03-15,0.5278175189381554
852,2000-03-31,0.5141539427023085
408,2000-03-31,0.514129875671296
853,2000-04-16,
409,2000-04-16,
854,2000-05-02,
410,2000-05-02,
1288,2000-05-10,0.4795375419041467
411,2000-05-18,0.061337194597673804
855,2000-05-18,
412,2000-06-03,0.6423990206112937
856,2000-06-03,0.6548079290087262
1437,2000-07-29,0.3950729100477128
1289,2000-07-29,0.41063940950802397
413,2000-08-06,
857,2000-08-06,
414,2000-08-22,
858,2000-08-22,
1290,2000-08-30,
415,2000-09-07,
859,2000-09-07,
1291,2000-09-15,0.5925061106681824
416,2000-09-23,
860,2000-09-23,
1292,2000-10-01,0.5510926218259902
417,2000-10-09,0.6470083253724234
861,2000-10-09,0.6510259234716023
418,2000-10-25,
862,2000-10-25,
863,2000-11-10,
419,2000-11-10,
1293,2000-11-18,0.4748442565637921
1438,2000-11-18,0.4795975311407967
864,2000-11-26,0.4825167286963689
420,2000-11-26,0.4783311859955864
421,2000-12-12,0.5050963428285387
865,2000-12-12,0.5109054200232975
866,2000-12-28,
422,2000-12-28,
1439,2001-01-05,0.49940826022435747
1294,2001-01-05,0.497940886115271
867,2001-01-13,0.5112151328533414
423,2001-01-13,0.5075948966874015
1295,2001-01-21,0.48995166023572284
424,2001-01-29,0.505299161823969
868,2001-01-29,0.5098213269597008
1440,2001-02-06,0.5177397775271583
1296,2001-02-06,0.5145025404672773
425,2001-02-14,0.4960936563355582
869,2001-02-14,0.490539439613857
1297,2001-02-22,0.4715711810286083
426,2001-03-02,0.5226573693373847
870,2001-03-02,0.5235201200795553
1298,2001-03-10,0.5101680107532985
1441,2001-03-10,0.5155267980363634
871,2001-03-18,0.5010370966934024
427,2001-03-18,0.5061710254540519
872,2001-04-03,
428,2001-04-03,
429,2001-04-19,
873,2001-04-19,
874,2001-05-05,
1442,2001-05-13,
430,2001-06-06,0.6654825853923011
875,2001-06-06,0.6445290976100497
876,2001-06-22,
431,2001-06-22,
1299,2001-06-30,
1300,2001-07-16,
432,2001-07-24,
877,2001-07-24,
1443,2001-08-01,
1301,2001-08-01,
1444,2001-08-17,0.0602673508581661
1302,2001-08-17,
1445,2001-09-02,
1303,2001-09-02,
878,2001-09-10,0.7238574046937247
433,2001-09-10,0.7223319865408397
1304,2001-09-18,
879,2001-09-26,
880,2001-10-12,0.7008040102701338
434,2001-10-12,0.7020757643003313
881,2001-10-28,0.6148863567246331
435,2001-10-28,0.7110172434458657
1446,2001-11-05,
882,2001-11-13,0.607379323433316
436,2001-11-13,0.6004140079021454
883,2001-11-29,0.5865215034711928
437,2001-11-29,0.5678459207216898
438,2001-12-15,0.5458919855337294
884,2001-12-15,0.5478177420676701
1305,2001-12-23,0.5406233663596803
1447,2001-12-23,0.5439274940225813
439,2001-12-31,0.5626852625892276
885,2001-12-31,0.5634562779986669
1306,2002-01-08,0.5343959236901904
1448,2002-01-08,0.5369503058138347
1449,2002-01-24,0.5277457686643752
886,2002-02-01,0.5315704785642168
440,2002-02-01,0.5338714496483878
1307,2002-02-09,0.508414540025923
887,2002-02-17,0.5228135704048097
441,2002-02-17,0.5206820160623581
1450,2002-02-25,0.49783632868812194
1308,2002-02-25,0.49939053683053886
888,2002-03-05,0.5312574051675343
442,2002-03-05,0.533853078645373
1309,2002-03-13,
889,2002-03-21,0.5386130667868115
443,2002-03-21,0.5398497203039745
444,2002-04-06,
1310,2002-04-14,0.4893595481675768
1451,2002-04-14,0.46955540776252747
890,2002-04-22,
445,2002-04-22,
891,2002-05-08,0.638590813629211
446,2002-05-08,0.6374234973438202
447,2002-05-24,
892,2002-05-24,
1452,2002-06-17,0.552775261894105
1311,2002-06-17,0.5402383203544313
448,2002-06-25,
1453,2002-07-03,0.48294435512451894
1312,2002-07-03,0.48293619685702854
893,2002-07-11,
449,2002-07-11,
894,2002-07-27,0.7182378295868163
450,2002-07-27,0.7165955967373318
1454,2002-08-04,
1313,2002-08-04,
895,2002-08-12,0.529168019692103
451,2002-08-12,0.526865045860331
896,2002-09-13,0.733313676856813
452,2002-09-13,0.7396283859298342
897,2002-09-29,0.7180639845984322
453,2002-09-29,0.7110397900853838
454,2002-10-15,
898,2002-10-15,
455,2002-10-31,0.6469955444335938
899,2002-10-31,0.6468843855555095
456,2002-11-16,0.5836418261603704
900,2002-11-16,0.593322034393038
