,date,ndvi
1291,2000-01-03,0.5707306444644928
853,2000-01-11,0.6064912060896555
409,2000-01-11,0.6059879819552103
410,2000-01-27,0.5988679309686025
854,2000-01-27,0.5976865410804748
1292,2000-02-20,0.6118666807810466
855,2000-02-28,0.6688645382722219
411,2000-02-28,0.6692405939102173
1293,2000-03-07,0.5762347678343455
412,2000-03-15,0.6414987881978352
856,2000-03-15,0.6380384604136149
413,2000-03-31,0.6186017155647276
857,2000-03-31,0.6199829717477163
414,2000-04-16,
858,2000-04-16,
415,2000-05-02,
859,2000-05-02,
1294,2000-05-10,0.6221027115980784
860,2000-05-18,
416,2000-05-18,0.19113950356841086
417,2000-06-03,0.7185557365417481
861,2000-06-03,0.722190543015798
1443,2000-07-29,0.4476117620865504
1295,2000-07-29,0.47319085498650876
862,2000-08-06,
418,2000-08-06,
419,2000-08-22,
863,2000-08-22,
1296,2000-08-30,
420,2000-09-07,
864,2000-09-07,
1297,2000-09-15,0.5812450408935547
421,2000-09-23,
865,2000-09-23,
1298,2000-10-01,0.5399476329485575
422,2000-10-09,0.6277238766352335
866,2000-10-09,0.6274272501468658
867,2000-10-25,
423,2000-10-25,
868,2000-11-10,
424,2000-11-10,
1299,2000-11-18,0.5134514113267262
1444,2000-11-18,0.5192466080188752
425,2000-11-26,0.4234955569108327
869,2000-11-26,0.42985915044943496
870,2000-12-12,0.5752953549226125
426,2000-12-12,0.5743651409943898
871,2000-12-28,
427,2000-12-28,
1300,2001-01-05,0.5515346894661586
1445,2001-01-05,0.5537889033555985
428,2001-01-13,0.5772041310866675
872,2001-01-13,0.5754370530446371
1301,2001-01-21,0.5462371647357941
429,2001-01-29,0.5725529988606771
873,2001-01-29,0.5731446474790574
1446,2001-02-06,0.5561938544114431
1302,2001-02-06,0.5592914899190267
430,2001-02-14,0.5517368565003078
874,2001-02-14,0.5536615351835887
1303,2001-02-22,0.5059786220391592
431,2001-03-02,0.5848617543776831
875,2001-03-02,0.5763136049111685
1304,2001-03-10,0.5403001427650451
1447,2001-03-10,0.5466665794452031
876,2001-03-18,0.5644334038098653
432,2001-03-18,0.5625176707903544
433,2001-04-03,0.410086864233017
877,2001-04-03,0.4072697738806407
434,2001-04-19,
878,2001-04-19,
879,2001-05-05,
1448,2001-05-13,
435,2001-06-06,0.6994907279809316
880,2001-06-06,0.6801308691501619
436,2001-06-22,
881,2001-06-22,
1305,2001-06-30,
1306,2001-07-16,
437,2001-07-24,
