,date,ndvi
1290,2000-01-03,0.6130310982465743
852,2000-01-11,0.6519414097070695
408,2000-01-11,0.651321280002594
853,2000-01-27,0.644769126176834
409,2000-01-27,0.6456484258174897
1291,2000-02-20,0.65916688144207
854,2000-02-28,0.720204335451126
410,2000-02-28,0.7185384184122086
1292,2000-03-07,0.6260839253664017
855,2000-03-15,0.6797191321849823
411,2000-03-15,0.6832950383424758
856,2000-03-31,0.6540682643651963
412,2000-03-31,0.6477681577205658
413,2000-04-16,
857,2000-04-16,
414,2000-05-02,
858,2000-05-02,
1293,2000-05-10,0.6767383396625519
415,2000-05-18,0.5082594104111194
859,2000-05-18,
416,2000-06-03,0.7158869236707688
860,2000-06-03,0.7204233765602112
1294,2000-07-29,0.49346091300249106
1442,2000-07-29,0.4646943971514702
417,2000-08-06,
861,2000-08-06,
418,2000-08-22,
862,2000-08-22,
1295,2000-08-30,
419,2000-09-07,
863,2000-09-07,
1296,2000-09-15,0.5934579700231553
420,2000-09-23,
864,2000-09-23,
1297,2000-10-01,0.5331699579954148
421,2000-10-09,0.6640042811632156
865,2000-10-09,0.6643927991390228
422,2000-10-25,
866,2000-10-25,
423,2000-11-10,
867,2000-11-10,
1298,2000-11-18,0.553658378124237
1443,2000-11-18,0.5583998441696167
868,2000-11-26,0.5293299838900567
424,2000-11-26,0.5231698140501977
869,2000-12-12,0.6333032250404358
425,2000-12-12,0.6363259494304657
870,2000-12-28,
426,2000-12-28,
1444,2001-01-05,0.6101340115070343
1299,2001-01-05,0.606084331870079
871,2001-01-13,0.6221127331256866
427,2001-01-13,0.6201437711715698
1300,2001-01-21,0.6065747231245041
428,2001-01-29,0.6229823052883148
872,2001-01-29,0.623392328619957
1301,2001-02-06,0.6248484194278717
1445,2001-02-06,0.6240529119968414
873,2001-02-14,0.60587617456913
429,2001-02-14,0.6019316345453263
1302,2001-02-22,0.5435375854372978
430,2001-03-02,0.6401045203208924
874,2001-03-02,0.6291948795318604
1303,2001-03-10,0.5931428760290146
1446,2001-03-10,0.6009568065404891
875,2001-03-18,0.603701114654541
431,2001-03-18,0.6023942828178406
432,2001-04-03,0.4481398180127144
876,2001-04-03,0.4415319889783859
877,2001-04-19,
433,2001-04-19,
878,2001-05-05,
1447,2001-05-13,
879,2001-06-06,0.6698373019695283
434,2001-06-06,0.6973681151866914
880,2001-06-22,
435,2001-06-22,
1304,2001-06-30,
1305,2001-07-16,
881,2001-07-24,
436,2001-07-24,
1448,2001-08-01,
1306,2001-08-01,
1449,2001-08-17,
1307,2001-08-17,
1308,2001-09-02,
1450,2001-09-02,
437,2001-09-10,0.7090935856103897
882,2001-09-10,0.6997205078601837
1451,2001-09-18,
1309,2001-09-18,
883,2001-09-26,
438,2001-10-12,0.6982905447483063
884,2001-10-12,0.6942225277423859
885,2001-10-28,
