,date,ndvi
651,2000-01-03,
207,2000-01-11,0.5094452972213427
208,2000-01-27,0.49203910595840883
652,2000-02-20,0.5047332338160939
209,2000-02-28,0.5324211012985972
653,2000-03-07,0.4678817590077719
210,2000-03-15,0.5116573050618172
211,2000-03-31,0.5110887893372112
212,2000-04-16,0.34744480831755536
213,2000-05-02,
654,2000-05-10,
214,2000-05-18,0.00566906801767699
215,2000-06-03,0.6166975142227279
655,2000-07-29,0.22284646290871832
216,2000-08-06,0.5681283540195888
217,2000-08-22,
656,2000-08-30,
218,2000-09-07,
657,2000-09-15,0.616992723610666
219,2000-09-23,0.6667783011992773
658,2000-10-01,
220,2000-10-09,0.6784262855847677
221,2000-10-25,
222,2000-11-10,0.5164500938521491
659,2000-11-18,0.5186909867657555
223,2000-11-26,0.5392575677898195
224,2000-12-12,0.5241127957900366
225,2000-12-28,
660,2001-01-05,0.5090663474467065
226,2001-01-13,0.5071581386857563
661,2001-01-21,0.5044556160767872
227,2001-01-29,0.5175027565823661
662,2001-02-06,0.514073747727606
228,2001-02-14,0.5086994287040499
663,2001-02-22,0.5002242401242256
229,2001-03-02,0.5286169706119431
664,2001-03-10,0.5233320660061306
230,2001-03-18,0.5317110891143481
231,2001-04-03,
232,2001-04-19,
233,2001-06-06,0.6159567758440971
234,2001-06-22,
665,2001-06-30,
666,2001-07-16,
235,2001-07-24,
667,2001-08-01,
668,2001-08-17,0.512541295753585
669,2001-09-02,
236,2001-09-10,0.7311511039733887
670,2001-09-18,
237,2001-10-12,0.696425101823277
238,2001-10-28,
239,2001-11-13,0.6060222354200151
240,2001-11-29,0.5775102550784746
241,2001-12-15,0.5428658425807953
671,2001-12-23,0.5424376188053025
242,2001-12-31,0.43520284526877934
672,2002-01-08,
243,2002-02-01,0.5238552234239049
673,2002-02-09,0.5143826736344231
244,2002-02-17,0.5294271434346834
674,2002-02-25,0.5065075125959185
245,2002-03-05,0.553018756210804
675,2002-03-13,
246,2002-03-21,0.558017206688722
247,2002-04-06,0.2440429474744532
676,2002-04-14,0.545550593899356
248,2002-04-22,
249,2002-05-08,0.7763105308016142
250,2002-05-24,
677,2002-06-17,0.456459176623159
251,2002-06-25,
678,2002-07-03,0.5001284786396557
252,2002-07-11,
253,2002-07-27,0.6807284421390958
679,2002-08-04,
254,2002-08-12,0.758342272705502
255,2002-09-13,0.7357532845603095
256,2002-09-29,0.7364583710829417
257,2002-10-15,
258,2002-10-31,
259,2002-11-16,0.6084500145581033
260,2002-12-02,0.5787550194395913
261,2002-12-18,0.5813033067517811
262,2003-01-03,0.5513365061746703
263,2003-01-19,0.572043678826756
264,2003-02-04,0.552445219622718
265,2003-02-20,0.565122658179866
266,2003-03-08,
267,2003-03-24,0.5694557668434249
268,2003-04-09,0.5656155364380943
269,2003-05-11,0.22750292966763178
270,2003-05-27,0.6235838300651975
680,2003-07-06,0.009461716559599154
681,2003-08-07,
271,2003-08-15,0.7270441187752618
682,2003-08-23,0.6608948078420428
683,2003-09-08,0.6746810939576892
684,2003-09-24,0.671935381160842
272,2003-10-02,0.7086272752947278
685,2003-10-10,0.6677636355161667
273,2003-10-18,0.6877015249596702
274,2003-11-19,0.6100130933854314
686,2003-11-27,
275,2003-12-05,0.5830036054054896
687,2003-12-13,0.5511511456635264
276,2003-12-21,0.5526668553551038
688,2003-12-29,0.46174086216423244
277,2004-01-06,0.53881938672728
689,2004-01-14,0.42359560148583525
278,2004-01-22,0.5253231747282876
690,2004-01-30,0.5144561388426357
279,2004-02-07,
691,2004-02-15,0.4943867400288582
280,2004-02-23,0.5055860072374344
692,2004-03-02,0.5558042815989918
281,2004-03-10,0.5274451221856805
693,2004-03-18,0.5363139551546838
282,2004-03-26,
694,2004-04-03,0.5747162906659974
283,2004-04-11,0.590248261888822
695,2004-04-19,0.6070282045337889
284,2004-04-27,
696,2004-05-05,0.5277596819731923
285,2004-05-13,0.574924541844262
697,2004-05-21,
286,2004-05-29,0.5327723696827888
698,2004-06-06,0.6143650478786893
287,2004-06-14,0.6771472344795862
288,2004-06-30,
699,2004-07-08,0.5347503746549288
289,2004-07-16,
700,2004-07-24,
290,2004-08-01,
701,2004-08-09,
291,2004-08-17,0.7462235656049517
702,2004-08-25,0.6512832641601562
703,2004-09-10,0.6646475527021619
292,2004-09-18,
704,2004-09-26,
293,2004-10-04,0.36025007979737395
705,2004-10-12,
294,2004-10-20,0.6699676397773956
706,2004-10-28,
295,2004-11-05,0.643015561832322
707,2004-11-13,
296,2004-11-21,0.6340773271189796
708,2004-11-29,0.5900280906094445
297,2004-12-07,0.6193131655454636
709,2004-12-15,0.5831827744841577
710,2004-12-31,0.5679031875398425
298,2005-01-08,0.5778262739380201
711,2005-01-16,0.5503901806142596
299,2005-01-24,0.5715059803591834
712,2005-02-01,0.5489389217562146
300,2005-02-09,0.5722328126430511
713,2005-02-17,
301,2005-02-25,0.5593832441502147
714,2005-03-05,0.5548099188341035
302,2005-03-13,0.6261941509114372
715,2005-03-21,0.5736834994620746
303,2005-03-29,
716,2005-04-06,0.5739957731631068
304,2005-04-14,0.5698361065652635
717,2005-04-22,0.5300050758653218
305,2005-04-30,0.5760308504104614
