,date,ndvi
1353,2000-01-03,
909,2000-01-11,0.4015453173778951
189,2000-01-18,0.4012999436818063
569,2000-01-26,0.4107726691290736
910,2000-01-27,0.3902752841822803
190,2000-02-03,0.4136974196881056
570,2000-02-11,0.42713268706575036
191,2000-02-19,0.4094870388507843
1354,2000-02-20,0.39920503832399845
911,2000-02-28,0.441122536547482
192,2000-03-06,0.41939949290826917
1355,2000-03-07,
912,2000-03-15,
193,2000-03-22,0.4349552057683468
913,2000-03-31,0.4403680320829153
194,2000-04-07,
914,2000-04-16,
195,2000-04-23,0.46508582029491663
915,2000-05-02,0.4881720417179167
1356,2000-05-10,
916,2000-05-18,0.0019882824902500338
196,2000-05-25,0.5613561267964542
571,2000-06-02,0.4352402272634208
917,2000-06-03,0.4415218224748969
197,2000-06-10,0.4516805042512715
572,2000-06-18,0.5965707441791892
198,2000-06-26,
199,2000-07-12,0.6410772427916527
200,2000-07-28,0.5730093983002007
1357,2000-07-29,
918,2000-08-06,0.5818399600684643
919,2000-08-22,
1358,2000-08-30,
920,2000-09-07,
1359,2000-09-15,0.5537383239716291
573,2000-09-22,0.5951914303004742
921,2000-09-23,0.6047898842953146
201,2000-09-30,0.5595227451995015
1360,2000-10-01,
922,2000-10-09,0.5944091319106519
202,2000-10-16,0.5805407958105206
574,2000-10-24,
923,2000-10-25,
203,2000-11-01,0.564060730393976
924,2000-11-10,
204,2000-11-17,
1361,2000-11-18,
925,2000-11-26,0.46997078601270914
205,2000-12-03,0.4712602496147156
575,2000-12-11,0.4551578275859356
926,2000-12-12,0.4460869119502604
927,2000-12-28,0.42037306539714336
206,2001-01-04,0.47170059476047754
1362,2001-01-05,0.43420170387253165
576,2001-01-12,0.42601401824504137
928,2001-01-13,0.4368334566242993
207,2001-01-20,0.4411344821564853
1363,2001-01-21,0.44130543572828174
577,2001-01-28,0.43380091805011034
929,2001-01-29,
208,2001-02-05,
1364,2001-02-06,0.4407707443460822
578,2001-02-13,0.3614393169991672
930,2001-02-14,
209,2001-02-21,0.44347334327176213
1365,2001-02-22,
579,2001-03-01,0.45972361136227846
931,2001-03-02,0.4571462250314653
210,2001-03-09,
1366,2001-03-10,0.44577087787911296
580,2001-03-17,
932,2001-03-18,0.46911259833723307
211,2001-03-25,
933,2001-04-03,
581,2001-04-18,0.4990688618272543
934,2001-04-19,
212,2001-04-26,0.5371053274720907
213,2001-05-12,
582,2001-05-20,
583,2001-06-05,0.6810679044574499
935,2001-06-06,0.6574022099375725
214,2001-06-13,
936,2001-06-22,
215,2001-06-29,0.6766871358267963
1367,2001-06-30,
584,2001-07-07,
216,2001-07-15,
1368,2001-07-16,
937,2001-07-24,0.331329386215657
1369,2001-08-01,
585,2001-08-08,0.6480111349374056
1370,2001-08-17,0.4877436012029648
1371,2001-09-02,
938,2001-09-10,0.7045877045020461
217,2001-09-17,
1372,2001-09-18,
586,2001-09-25,
939,2001-10-12,0.6950326841324568
218,2001-10-19,
940,2001-10-28,0.2951625529676676
587,2001-11-12,
941,2001-11-13,
219,2001-11-20,
588,2001-11-28,0.5218321131542325
942,2001-11-29,0.5190963470377028
220,2001-12-06,0.5066928043961525
589,2001-12-14,0.46887147752568126
943,2001-12-15,0.483489644775788
221,2001-12-22,0.5166241279803216
1373,2001-12-23,0.48170865466818213
590,2001-12-30,0.46377946296706796
944,2001-12-31,0.3125880159437656
222,2002-01-07,0.32954709231853485
1374,2002-01-08,0.4905879548750818
591,2002-01-15,0.46932014310732484
223,2002-01-23,
592,2002-01-31,0.5257454193197191
945,2002-02-01,0.48784171929582953
224,2002-02-08,0.46641123946756124
1375,2002-02-09,0.049758679408114403
593,2002-02-16,
946,2002-02-17,
225,2002-02-24,0.4714138815179467
1376,2002-02-25,
594,2002-03-04,0.522567211650312
947,2002-03-05,0.5049455929547548
226,2002-03-12,
1377,2002-03-13,0.1453751449007541
595,2002-03-20,0.5517927748151124
948,2002-03-21,
227,2002-03-28,0.5592350787483156
949,2002-04-06,0.410480713006109
228,2002-04-13,0.6322000054642558
1378,2002-04-14,0.5379435999008516
950,2002-04-22,
229,2002-04-29,
951,2002-05-08,
952,2002-05-24,
230,2002-06-16,
1379,2002-06-17,0.6555212484672666
953,2002-06-25,
231,2002-07-02,0.6783926524221897
1380,2002-07-03,0.6468781102448702
596,2002-07-10,0.6338120829313993
954,2002-07-11,0.6723677963018417
955,2002-07-27,0.7144741453230381
232,2002-08-03,
1381,2002-08-04,
956,2002-08-12,0.700289050117135
233,2002-08-19,
957,2002-09-13,0.7339957654476166
234,2002-09-20,0.671353179961443
958,2002-09-29,
235,2002-10-06,
959,2002-10-15,0.6088396459817886
236,2002-10-22,0.6618711557239294
960,2002-10-31,
237,2002-11-07,0.6091637499630451
961,2002-11-16,
238,2002-11-23,0.42116305817450794
962,2002-12-02,0.5107575971633196
963,2002-12-18,
239,2002-12-25,0.5682726269587874
964,2003-01-03,0.5177718983031809
240,2003-01-10,0.5480736386962235
965,2003-01-19,0.5563450870104134
966,2003-02-04,0.545338804833591
241,2003-02-11,
967,2003-02-20,0.5552959362976253
242,2003-02-27,0.5759536013938487
968,2003-03-08,
243,2003-03-15,0.5752822309732437
969,2003-03-24,0.5903808120638132
244,2003-03-31,0.5892801429145038
970,2003-04-09,0.6000542431138456
245,2003-05-02,
971,2003-05-11,0.37253835843876004
246,2003-05-18,
972,2003-05-27,0.6675207898952067
597,2003-06-27,
1382,2003-07-06,0.005082601197136683
598,2003-07-13,0.7148533700965345
247,2003-07-21,0.7765394151210785
1383,2003-08-07,
599,2003-08-14,0.7000589608214796
973,2003-08-15,0.7320239031687379
248,2003-08-22,0.7443433604203165
1384,2003-08-23,0.6772875678725541
600,2003-08-30,0.4583712129129303
1385,2003-09-08,0.6785181425511837
601,2003-09-15,0.6721792132593691
249,2003-09-23,0.730341955088079
1386,2003-09-24,0.6639377190731466
602,2003-10-01,0.6779332119040191
974,2003-10-02,0.5810402763475264
1387,2003-10-10,0.6428713998757303
603,2003-10-17,0.65408308012411
975,2003-10-18,0.5994294863194227
250,2003-10-25,
251,2003-11-10,0.6420407891273499
604,2003-11-18,0.5794497788883746
976,2003-11-19,0.5865408354438841
252,2003-11-26,
1388,2003-11-27,
977,2003-12-05,0.5787750254074733
253,2003-12-12,0.5820689219981432
1389,2003-12-13,0.550716822501272
605,2003-12-20,
978,2003-12-21,0.5666147316806018
254,2003-12-28,0.577696914318949
1390,2003-12-29,0.4612179964315146
606,2004-01-05,0.4996461868286133
979,2004-01-06,
255,2004-01-13,
1391,2004-01-14,
607,2004-01-21,0.5167687721550465
980,2004-01-22,0.5398260730629165
256,2004-01-29,
1392,2004-01-30,0.3620100909223159
981,2004-02-07,
257,2004-02-14,0.5130330271841514
1393,2004-02-15,
608,2004-02-22,0.48502229852601886
982,2004-02-23,
1394,2004-03-02,0.5497445808723569
609,2004-03-09,
983,2004-03-10,
258,2004-03-17,0.5602769106626511
1395,2004-03-18,0.5423928769305348
610,2004-03-25,0.5510528949089348
984,2004-03-26,
259,2004-04-02,0.6004875875078142
1396,2004-04-03,0.5720139285549521
611,2004-04-10,0.5792743414640427
985,2004-04-11,
260,2004-04-18,0.5596092990289132
1397,2004-04-19,0.5804800447076559
612,2004-04-26,0.5953884203918278
986,2004-04-27,
1398,2004-05-05,
613,2004-05-12,0.49129132460802794
987,2004-05-13,0.5547652252905425
1399,2004-05-21,
614,2004-05-28,
988,2004-05-29,0.6464086868800223
261,2004-06-05,0.6719866897910833
1400,2004-06-06,0.6283486001193523
615,2004-06-13,
989,2004-06-14,0.7146838307380676
616,2004-06-29,0.6853673136793077
990,2004-06-30,0.7017296788593134
262,2004-07-07,0.515382726987203
1401,2004-07-08,0.6278655519708991
617,2004-07-15,0.7016346291638911
991,2004-07-16,0.6378872560958067
263,2004-07-23,
1402,2004-07-24,
618,2004-07-31,
992,2004-08-01,
1403,2004-08-09,
619,2004-08-16,0.6762157366611063
993,2004-08-17,0.7189904754050076
264,2004-08-24,0.6762153618037701
1404,2004-08-25,0.5934219029732049
620,2004-09-01,
265,2004-09-09,0.6889134835052703
1405,2004-09-10,0.6234923806041479
994,2004-09-18,
1406,2004-09-26,
621,2004-10-03,
995,2004-10-04,
1407,2004-10-12,0.608319484628737
622,2004-10-19,0.6208310914225876
996,2004-10-20,
266,2004-10-27,0.6026497380807996
1408,2004-10-28,
623,2004-11-04,0.5843145670369267
997,2004-11-05,0.5884359977208078
1409,2004-11-13,0.5278740694746376
624,2004-11-20,0.5383500275202096
998,2004-11-21,
267,2004-11-28,0.5522766853682697
1410,2004-11-29,0.46748692231873673
625,2004-12-06,0.5117080733180046
999,2004-12-07,
268,2004-12-14,
1411,2004-12-15,0.5336339049972594
269,2004-12-30,0.50444077514112
1412,2004-12-31,0.5259227575734258
626,2005-01-07,0.5084342928603292
1000,2005-01-08,0.5394031368196011
270,2005-01-15,0.562841484323144
1413,2005-01-16,0.5191992269828916
627,2005-01-23,0.5254109911620617
1001,2005-01-24,0.5313871568867139
1414,2005-02-01,0.5249597756192088
628,2005-02-08,0.5029126340523362
1002,2005-02-09,
271,2005-02-16,
1415,2005-02-17,
629,2005-02-24,0.51878821849823
